text,sentiment
emg mantep sih app gojek moga nyusul jadi karyawan goto,positive
bad,negative
kali alami sen gojek gojek datang tuju menit kemudian sampai tuju tiba tiba hpku otomatis sen gojek padahal ga sen why help aplikasi aplikasi masalah hp,neutral
lot banget padahal jaring full kuota tapi tetep aja lot,negative
aplikasi lot banget mending grab,negative
ux bagi go food jelek ah item udh dimasukin keranjang hilang muncul mulu,negative
seluruh bagus cuma satu kalo hujan order lama sekali,positive
sangat bantu,positive
paling juara goride gofood nya,positive
aplikasi tolong banget,positive
sedia layan belanja watson guardian beautyhaul please juga belanja lotte mart tambah bagi gomart jamin org bakal senang guna fitur jika tdk sempat belanja,positive
telah update malah nggk buka nih aplikasi sangat sayang,negative
jauh jalan bareng gojek sesuai aplikasi yaaa,positive
aplikasi makinn busuk tiba tiba lgi bawa cs malah logout sndiri coba login kali kali malah loading sekali nya malah sp stngh jam tolol,negative
mantap,positive
layan nya bgt,positive
knp dri kmrin muter muter terus sih pdahal sinyal wifi kenceng tpi apk nya gk buka update udah fitur gopaynya sma gk masuk ke akun udah refresh jawab internet masalah wifi gua kenceng lah masalah ini,neutral
susah gocar dekat sering tolak jauh titik jemput satu kali berangkat sampai kali tolak jauh akhir ambil aplikasi jasa online yg yang selalu siap jemput walaupun titik jemput jauh itu sekali order lama sekali dapat pesan langgan lama gojek akhir akhir gojek sangat kecewa saya,neutral
selalu baik gojek mah,positive
bagus layan,positive
manteps,positive
jalan jadi lebih mudah driver sopan,positive
jelek susah narik data loading lama banget padahal internet lancar,negative
orang udah sen lebih jam eh malah batalin gak recommend banget sih padahal udah kelaperan,positive
sngt mmbntu,positive
bagus bantu sekali in this situation yg mobiltas tinggi guna transportasi,positive
bikin update ownload install baru cukup fitur yg update aja x,neutral
para gojek mana ada harap bagus kalau antar tumpang masa jalan rusak main hajar aja pikir tumpang sakit semua badan,negative
lah kasih tindak pilih menu info batalin buat driver yg gak mau ambil tumpang diem aja tunggu tumpang yg cancel sendiri,negative
oke bagus saat,positive
guna kirim express apa pake fitur express ngeluarin biaya ekstra tp nyata kirim standar tau gt ga pke express,neutral
cepat murah,positive
aplikasi terlalu banyak korupsi sampah,negative
aplikasi sampah telek mbut status cari driver mulu padahal sekitar banyak yg nongkrong lu mau kasih driver yg jarak km dr gw sampah mending pakai aplikasi banyak aplikasi skrg bukan gojek doang moga perintah segera buang aplikasi dr indonesia aminnnnn,negative
sangat sangat mrmbantu,positive
gosend hemat udah abis payah,negative
lebih mudah aman nyaman,positive
oke top markotop lanjut,positive
mesan sendiri,negative
harga nya suka mahal bgtt hampir nya hrga asli jim,negative
pakai gotransit sklian goride pilih murah gamau ambil tp gamau cancel ditungguin nunggu lama bahkan yg malah makin jauh gilir dicancel custnya dpt rate jelek krna sering cancel wasting my time pdhal liat bill murah udh niat ngasi tip buat driver,negative
ku uninstall karena ga bisa login loading mulu padahal internet lancar,negative
very helpful,positive
alhamdulillah betul install pas yang butuh,positive
drivernya enak ajak ngobrol,positive
langgan setia gojek,positive
tingkat layan gojek makin bagus,positive
bagus bingits,positive
good job,positive
mau buat akun baru kode nya kirim alamat email yg gk tahu bukan email ini gimana,negative
sangatembantu,positive
sesuai ingin,positive
president bilang potong aplikasi masih aja lapang haloo bos banyak makan keringet mitra,negative
oke lah sangat bantu,positive
sangat aman,positive
lamaaaaaa,negative
iklan nya maksa,negative
ga akses barusan udh coba bbrp kali gabisa masuk apk padahal buru bgt anehhh gilir butuh gabisa di buka apknya padahal udh update terus mksd pake apk biar ga ribet biar cpt kalo mau jalan malah makin lamaaaaaaaaaaaaa,negative
aplikasi angkut paling buruk skarang masa sen tmpat sama hargany beda jauh banget lg bedany,negative
kalo hujan selalu gabisa dapet driver aneeehhhhhhhhhhh bangetttttt,negative
percaya cepat,positive
good,positive
cuma mau nilai beberapa mitra member gojek kalau kondisi mungkin ambil tumpang lah jangan on kan dulu contoh sudah driver nya bilang tunggu dulu yaa mau pom dulu isi bensin terus tunggu dulu yaa kak mau sholat dulu bukan larang orang mau sholat isi bensin tapi mending off kan dulu deh,positive
mudah di guna,positive
cepat tepat,positive
enggak pake ewalet dana,negative
juga,positive
selalu puas layan gojek terima kasih gojek,positive
makin kesini makin pelit ga vocer gofood padahal hampir hari order gofood tp ga penawaram vocer sama sekali mending grab banyak tawar vocer promo grabfood nya,positive
aplikasi bagus sih fitur games gojek nya buka gocats gojek soal hari hari bisa buka update ikut gocats yang ada aplikasi gojek bisa buka,positive
mohon di baik untuk masalah login lebih tepat verifikasi wajah sering kali gagal padahal ruang cerah wajah lihat jelas tidak laku verifikasi,neutral
mantap pelayananx,positive
makin mantab dah,positive
min banyakin promo nya dong min sudah langgan gojek lama,positive
sangat mmbantu,positive
sangat mbantu,positive
sangat bgus,positive
praktis anjay mesti kendala sedikit,positive
menu jadwal in ada akun,negative
di baik jamin saldo nya,positive
driver gak gerak mulu,negative
drivernya ngacengan,positive
lelet ribet susah makin lama makin ngelunjak ah au ah lelet makan nya kek apa tau,negative
error melulu,negative
bagus nyaman,positive
gajelas ngelag banget kalo dipake sinyal lancar padahal,negative
gojeg bener bener aplikasi gosend nya ga amanah masa paket kirim bukti jemput tangan kirim terima di tangan kemudi nya kecewa banget paket hilang nila ga ngeluarin solusi sangsi driver nya parah,negative
terimakasih appnya bagus buat sen makan sama sen ojek buat anter rumah abis pulang sekolah ongkirnya lumayan murah lah itu,positive
buat scan qr apa gbs,negative
terlalu jauh titik jemput nya baik,positive
baik game bolak balok sistem cacat situ sudah selesai misi tiba tiba betul sistem memberitahukan ganggu reward hadiah masuk,negative
tambahin fitur alas batal pesan saya pesan ga dtg dichat ga malah jauh telepon ga angkat sy ga bs pencet fitur telepon jg girilan pesan apk belah lgsg sengaja buat dicancel tp ga mau ngasih jelas sy nunggu lama,negative
mau heran ini indonesia aplikasi nya bagus biasa buat apa tapi drevernya kyak kucing punya nyawa asal lebih dekat potong jalur lawan arus keren gojeg moga tumpang gojeg nyawa,positive
pesan gofood gak karena ganggu sibuk aplikasi jadi coba pesan dan kemudian tapi malah masuk pesan sama bagaimana,negative
dmna liat d jalan bnyk si jaket oren yg ramai dah sepi minat gofod skrng vocer gak jelas mahal driver kdang gajelas beda jauh am oren belah murah vocer gk nanggung,negative
neng ada gojek terkadang ada rasa khawatir waswas driver yg mungkin niat buruk ketat atur para driver mikir mikir tindak,positive
aplikasi nya bagus sangat bantu,positive
i like this one,positive
bagis,positive
baik bgus,positive
sangat baguss,positive
wo,positive
baguss sekali aplikasi,positive
sangat bantu aktifitas hari maupun darurat,positive
hapus langgan gacor,negative
baik bug nya sering pakai gomart buat beli rokok cemilan tpi kadang gomart nya ber masalah produk yg cari biasa tiba ngk malah di arahin go web donk,negative
efisien murah aman jamin dah pokok,positive
mnt nyari driver ga dpt dpt pdhl dh pke prioritas smpe nmbh asa ga driver,negative
gila last update transaksi gagal dana tilep ga balik transaksi tgl sampe skrng tgl duit nya ga balik gopay cs social media email jawab ngangong gojek emng downgrade era saat platform lomba bagusin aplikasi malah downgrade cs kalo jangan bales cuma template doang,negative
joss jisss,positive
suka gercep,positive
layan lengkap satu aplikasi sangat bantu aktivitas hari,positive
belanja pakai kirim cepat udh lebih mahal selalu aja telat gknada kompensasi tera menit hampir jam baru datang,negative
aplikasi bagus gak kurang,positive
tetap amanah,positive
ga jelas tahun tahun pake tiba tiba bilang langgar promo padahal sendiri munculin promo app pake malah bilang langgar udah lapor app tetep ga jelas,negative
apa nyari driver lama banget udah sering banget kaya gitu lo kan aneh mending maxim kalo gitu mana klo nunggu jam klo aplikasi lai udh sampe menit mah masalah nya lama banget coy,negative
mantaff,positive
lama banget nunggu driver sampe x gaada padahal siang udah diaktifin cari cepat,neutral
memang mantap,positive
layan gosend baik jauh bagus terimakasih,positive
apa kasih opsi antar muraah nunggu jam lebih malah batal app aneh,negative
puas mantap,positive
murah banyak promo,positive
good pokok,positive
kalau nyari driver jangan jauh la saya giat seko pulang siang drivernya datang jam lho,neutral
bisa downlod aplikasi transpotasi,positive
okee,positive
baik sekali,positive
manfaat aku,positive
gojek the best,positive
drevernya ramah jg baik,positive
minjam gopay pinjam juta lama bulan balikinnya juta baru telat hari udah teror dc segala macam gak deh pinjem sini,negative
sedikit bantu aku sering go food,positive
layan okay,positive
driver tidak niat kerja suka bnget nge cancel order padahal ditungguin sampe akhir telat masuk kerja di tungguin di cancel,negative
very nice,positive
aplikasi bobrok sulit org pas pesan makan mau batal tukar alamat sangat sulit tidak nyesal download,negative
drivernya ga niat dikit dikit cancel,negative
sangat luar biasa bantu,positive
bagus sekali iya,positive
apa apa bayar pengin jemput cepet bayar kalo pake promo driver ogah ogah,neutral
makin parah gak biasa biasa nyari driver menit skrng mau jam udah pake booking prioritas gak pindah belah kalo gin mah,negative
dong kalo transaksi gagal saldo kembali mau minta solusi chat cs jawab template mulu,positive
sangat sllu bantu saat butuh transportasi,positive
delivery gofood tengah malam cepat bgt,positive
guna aktif sejak saksi langsung bagaimana gojek tumbuh jadi salah satu usaha teknologi beri dampak nyata hidup masyarakat indonesia konsistensi hadir layan andal mudah akses relevan butuh guna tunjuk komitmen inovasi lanjut apresiasi atas kontribusi gojek dorong transformasi digital daya mitra tumbuh ekonomi nasional,positive
aplikasi lu lama lama bobrok w mau sen makan aja loding terus dah menit sinyal bagus padahal lu it gojek pada kerja ga,negative
main game nengok iklan terus menganggu,negative
juossss,positive
sangat bantu hari hari,positive
mantap bolo,positive
pesan tp batalin gak niat kerja,negative
cepat ga pakai lama,positive
gacorr,positive
buka pagi mulu driver malam selalu gak daftar padahal udah tahun tahun gokil mau reguler gak,negative
aplikasi sangat bantu,positive
sistem nya bobrok order ksh driver yg jauh dr resto kn jd mkn waktu lama buang waktu bensin driver customer rugi waktu x untunk driver jln resto nya waktu resto nyiapin order bkn nya dpt driver yg dekat dr resto mlh yg jauh dr resto mending aplikasi yg ln cpet drivernya karna dpt yg dekat dr resto sistem yg rugi driver customer,negative
kalo hujan susah dapet driver,positive
baru pertama kali sen go send marahin sama drivernya padahal udah bener alamat tp kata ga sesuai titik lah mana tau kalau ga sesuai walaupun bgtu kan ga perlu dimarahin apalagi kondisi baru pindah tp drivernya ga mau tau kecewa bgt ga mau pake gojek saya bakal hapus aplikasi nya,negative
nice,positive
driver arogan,negative
bantu banget mager keluar pingin makan pas promo diskon,positive
terima kasih atas baik bpak driver alhamdulillah hp anak telah temu,positive
rekomendasi buat antar jemput,positive
susah bgt dpt driver,neutral
uang tangan mahal gak pernah potong gofood potong malah hak driver,negative
layan cepat,positive
beli voucher a batal dana potong tidak kembali,negative
habis ganti no handphone sulit login,positive
joss,positive
aplikasi ribet cicil beda cicil hari bayar minimal ribet hidup lu,negative
suka mudah di hubung,positive
layan bagus cepat,positive
aplikasi sangat bantu mudah hari dalam pergi maupun pesan makan kalau mals keluar,positive
percuma sistem adu utama top up gopay klo sistem apk sendiri yg sulit,negative
ulas aplikasi ikan bintang karena alas pribadi sih suka sama salah satu driver pernah nganter soalny baik peka bukain stand kaki tepat saya naik sebelumn berangkat nany dulu udh si p belum buat jalan engga dia juga mastiin saya maka helm duh kyk perhati bgtt lucu dehhh moga ketemu sama mamas driver ny hihihii,positive
kalau bisa masuk dalam ancol biar jauh terimakasih,positive
toppp jossss,positive
oke driver gc safety,positive
gk jls sen go car aplikasi rb eh driver nya malah minta rb xlipat sendiri kita sen lewat gojek biar murah banyak promo kalo kaya gitu sama aja sewa mobil suruh jemput,negative
bagus mudah guna,positive
halo kalo mau adu barang tinggal transaksi hari gimana mohon informasi terima kasih,positive
perfect service and word action,positive
driver nya nolak,negative
bagus banget moga lebih bagus,positive
bagussss,positive
mau cari langgan komplain langgan angin lalu udah nunggu jam tiba tiba dibatalin pihak,negative
cocok banget buat aku yg pulang pergi gaada motor driver nya ramah ramah sering ajak ngobrol pas order cepet dapet driver nya poko the best lah gojek,positive
drivernya ya suruh buat ramah,positive
kali kali cari driver dapat hubung driver padahal driver lebih depan telah tanya ga nyambung driver bilang sengaja mati ada event besar jadi driver pasang harga x lipat harga aplikasi mohon beri edukasi ingat oknum driver seperti,negative
aplikasi banyak ting masa main game bolak balik balok dapat hadiah ting blocknya tiga block sebut bisa pasang dasar gamau rugi,negative
pokoke,positive
saya gak verifikasi wajah dah coba kali hari gak gimana gak mau pake grab dari singapur kalo produk lokal bikin sulit daftar,negative
nilai yg pantas dapat bijak aplikasi ambil untung tanpa pikir nasabah yg konsisten terimakasih gojek gopay beri alam yg luar biasa saya hari aplikasi uninstall depan gak kenal gojek gopay,negative
baik tepat waktu,positive
jelek banget gojek plus vocernya gada guna harga sama aja trus tiba tiba beli otomatis ada konfirmasi langsung potong saldo jelek banget fiturnya vocer doang bejibun ga ngaruh mending ga beli gojek plus,negative
cek ongkos klo daerah yg blm gojek ga,negative
kelas king,positive
mantqp,positive
kemudi yg baik sabar buat guna lansia,positive
cepat baik,positive
gas kan,positive
biar bintang bicara,positive
mantaf sangat bantu banget,positive
jelek masak driver klo sen minta tmabahan klo gk mau batalin,negative
mes minum kok ga dateng uang habis k masih ga datang,negative
gak bener banget dah masa gw udah langgan suruh bayar bangke lu kalo mau ngasih diskon ngotak lah anjirrr masa kasih diskon cuma rb doang padahal gw beli banyak lohh mikir lah kalo ngasih diskon jangan kecil banget gw udah langgan lohh,negative
mudh d guna,positive
layan baik banget bpk nya tepat waktu,positive
app buruk,negative
bukan nambah hasil malah nambah hutang moga hakim adil kabul doa tuntut hutang darah sampai lunas,negative
josgandos layan,positive
banyakin promo,positive
lancar jayaa,positive
cukup mantap,positive
bagussssss,positive
yey,positive
kecewa,positive
pesan banyak cuma rugiin konsumen dateng telat pesan ketuker ga nyelesaiin masalah malah ngasih masalah baru,negative
baik masalah jaring nya saya buka aplikasi lancar pas buka aplikasi gojek langsung lot tiba baik segera,neutral
cuman punya paylatter sering bamget blokir,positive
gimana nih gojek asik asiknya main game puzzle dapat hadiah hasil cetak rb poin eh pas rb poin malah kena aktivitas tak wajar jadi gagal menang deh baik sih,negative
mantap,positive
wow,positive
aplikasi tidak beetanggung jawab atas hilang barang,negative
parah hp hilang akun bajak orang pin ganti minta bantu cs bikin lapor udah hari gak kelar kelar cuma ken tau pin buat ganti nomor baru biar amanin akun apa guna kalo gak tau pin sama nomor hp gada gak transaksi apa apa heran,positive
mantab tahan,positive
mntap,positive
i like,positive
update jalan buat arah ada jalan yg di tutup baik jalan saya putar putar cari jalan,negative
mudah kan jalan,positive
jangkau buruk,positive
parah gojek sekarang tarif nya terlalu mahal sekarang gila,negative
ribet sekarang dulu punya akun ga da verifikasi wajah sekarnag tiba verifikasi wajah gagal padahal akun asli,negative
lumayan,positive
makin kesini makin lelet aplikasi,negative
lemottttt suka lag padahal internet bagus suka loading lama,neutral
layan cs kok pake ai mana komplen masalah kita aneh lu,negative
cepat driver,positive
aneh nih mau pakai halaman tampil masuk gilir buka goride gofood blank bukan jaring internet lancar apk update hp di restart kanapa stuck di tampil awal tp bisa akses yg,negative
mantap banget gan,positive
mantap layan nya,positive
makin kacau drivernya pilih tumpang kalau jarak deket sama argo kecil malah main cancel pihak,negative
bagus bantu,positive
butuh tenyata cuma omon,negative
sampah banget cs nya pake bot,negative
ditinggat kan ya respon customer nya rasa kecewa uang jebak gopay bisa login selalu gagal verifikasi wajah email di balas suruh tunggu hari telfon cs putus kecewa banget mana banyak coba tipu atas nama gopay gojek dong kak beri arah sat set,negative
oke,positive
terimakasih mudah aktivitas,positive
senang mantappp,positive
aplikasi ni sangat bantu apalagi pas luar kota,positive
sip dah,positive
wah bantu bngt,positive
aplikasi nya banyak ganggu,negative
aplikasi gajelas masa gabisa ngirim foto galeriii buat ngirim nota ambil gosend anehhh bukan mudah malah sulit tau aman user klo bgitu sistem malah nyusahin,negative
baik baik,positive
sangat baik sangat bantu transportasi banyak promo langgan,positive
mang mandi dulu lah kalau mau pergi ngojek,neutral
aplikasi mudah erti tampil buat mata sakit,positive
aplikasi ojek yg s tier fix no debat,positive
desain simple gk bingung layan oke cocok buat siapa aja yang buat negri,positive
ayo jangan bikin iklan d aplikasi yang gk d skip ganggu banget,negative
lama jujur sangat puas gojek bantu pergi seringkali pergi guna umum hal sebal jadi saya sedang dengar aplikasi dan hp saya taruh tas ntah gimana cerita tbtb pesan gofood yg masuk konfirmasi apa gak masuk pin jenis saya telah buka hp tbtb udh pesan sekarang mau batal gak alhasil mau gak mau di bayar thanks for bad experiencenya,negative
enak sih kalo mager tinggal sen aja ongkirnya kdng mahal,positive
drevernya ramah,positive
yaa sen gojek kali kali ga acc tlong kak baik biar gojek ny a makin laris berkah,negative
sekarang driver gak sabar selalu patok map padahal map gojek akurat driver malas baca catat,neutral
ntap,positive
cetus layan atar makan indonesia kalah datang baru nama shopeefood untung shopee baru ngeluarin layan express instan coba shopee express reguler mati gojek,negative
sangat manfaat yang punya transportasi juga murah cepat,positive
perbaikin lg sistem ny lokasi driver ny kadang kadang diem kadang kadanf keluar jalur,negative
sangat bantu sekali saya tidak mau ribet ditungguin kalau antar maupun pusing cari parkir kalau kendara sendiri,positive
baik,positive
cepat tnggap,positive
makin mahal gak masuk akal harga ongkir nya driver jauh lokasi beli jemput jadi tunggu lama kalau hujan sering ganggu susah dapet driver ongkos nya kali lipat,negative
banyak promonya,positive
saldo potong transaksi a reward gagal dana gak direfund udah beberapa hari lapor cs bales bot udah no aju gak digibris jugaaaa parahh bangett,negative
bantu bngt pknya,positive
cari driver lama banget pake cepat hemat sama lama males banget sama gojek sekarang,negative
inti love u,positive
sangat bantu perlu operasional hari,positive
sangat baguus aplikasi bantu dalam segala makan transportasi belanja online,positive
mantap ah,positive
good respon,positive
iy,positive
lancar,positive
aman bangett sekarang mana pake gojek praktis,positive
pes beberapa kali ada respon samsak padahal mau nganter orang sakit banget dah,negative
sangat bgus aplikasi,positive
sangat efektif mau pesan makan tidak ribet poko mantep,positive
order sameday pagi sampe malm ngk jelas no resi d cek ngk nungguin jam siang sampe jam malm ngk jelas tiba jam malm muncul notif seperti driver sedang sibuk tolong d baik system a jangan tarif a ajah yg makin mahal system ngk d cek dri siang posisi driver ngk gerak ngk d update sampe malm tiba muncul notif ngk driver yg ambil order seperti driver sedang sibuk kacau min,negative
sangat mahal buat ongkirnya sgla layan,negative
di update makin lot ken diuninstall aja rasa sangkin kesel,negative
praktis cepat andal semuah guna ojek online,positive
bagus aman,positive
layan bagus,positive
saldo yang direfund kembali,negative
kalo kata gua mah periksain deh driver yg gamau ngambil sen omong gaada dicancel jg engga bikin rating gua jelek aja grgr ngecancel elu tau ga lu pikir gua ga byr,neutral
mantap pakai gojek,positive
kode otp nya lama banget gk masuk masuk,negative
aplikasi yg sangat manfaat buat bantu terimaksih,positive
lama pakai go send go mart semua baik tdk kendala sama skli baik pesan atau soal bpk driver semua nya baik sangat muas,positive
ngapain masukin minum keras,negative
mantap layan nya driver nya cepat ramah,positive
beli a voucher ga masuk komplain hari ada jawab robot semua,negative
kembali saldo besar k a rewards soal transaksi sana yg voucher digital idm k harga k gagal semua saya transaksi x baru k yg refund sisa k dan refund saya lapor aplikasi akun gojekindonesia instagram sampai saat ini belum juga di refund,negative
istimewa,positive
gocar go bike harga kadang gak kira mahal banget sama langgan yg sering pakai kalo udah lamaaaa ga pakai harga agak murah padahal samain aja contoh kemarin hari turut turut pakai gocar jam yg sama hari nya tuju yg sama tiap hari harga ubah hari dan harga naik terus kenapa begitu,negative
ayo naik gojek kirim barang via gosend gojen andak,positive
gak dukung semua lokasi kocak,negative
sangat manfaat,positive
bagus deh pokok,positive
mantappp,positive
aplikasi gk jelas nge bug mau mesen laper malah bikin emosi,negative
aplikasi kikir sdh bayar gojek plus malah hilang fiturnya baik itu bug,negative
mantap bgt,positive
gojek mantap,positive
lambat baget masuk menu lelet lalot,neutral
amanah ramah,positive
murah aman praktis cepat,positive
sangat senang,positive
sangan efisien,positive
kadang kadang suka eror bisa pilih metode bayar gopay,negative
mau checkout gabisa uy di fix,positive
aplikasi sangat bantu,positive
aplikator ngotak lah jngan driver d kasi double order bagai cs lama nunggunya liatin aplikasi drivernya muter ksi drivernya,negative
moga moga ga banyak ganggu sinyal,positive
kadang lola guys,positive
tk atas layan,positive
layan bagus driver nya sopan,positive
aneh banget beli token listrik k ajh sangka transaksi curiga terus langsung blokir paylater nya lucu banget sumpah kata tunggu lama hari sekarang bulan lebih bisa guna lucu banget kan gopay makin aneh dan gopay aneh nya kecewa,negative
ramah baik,positive
gofood mhl amad,negative
mending nyurung opang beli makan sih pake gojek makin sini makin ngak waras harga,negative
drivernya ramah,positive
uang tabung di bank jago potong pemberitahuan bayar langgan disney hotstar padahal gak rasa langgan disney sdh komplain gk selesai bukan kalau mau masuk tabung mau bayar apa harus pakai pin kode otp bagaimana gojek disney tembus kode pin dan otp akun dan langsung ambil uang tabung aplikasi bs jadi scam,negative
gue maen gocat pet udah misi hari hari eh tau tau pagi pas lihat misi gocat pet udah balik hari,negative
mantabb,positive
lu keren,positive
sangat lama,negative
lot kayak,negative
cocok buat orang mager,positive
mantaps,positive
udah lama make aplikasi makin kesini makin gak jelas ui nya udah cari dasar gojek plus yang keluar cuma merchant doang padahal pas cari kategori merchant yg gojek plus bejibun masa iya cari manual satu satu ayo benerin dulu bugnya,negative
terima kasih gojek layan nya bagus,positive
drivernya baik sopan jaga tumpang,positive
mantaaabbb,positive
mantap tepat waktu,positive
sangat muas garcep,positive
mantap deh pake gojek cepat apk menit titik jemput nyata sampai menit ada titik jemput thanks gojek driver,positive
apa anak mau berangkat mentang mentang pesan yg murah gk ad yg mau kalo yg cepat aja baru mau apa,negative
mantaaaaabbbb,positive
tepat waktu lokasi jemput harga fleksibel aman bisa percaya,positive
aplikasi kok banyak bugnya,negative
layan lambat,negative
enak tambah promo nya,positive
sangat bantu bangett,positive
request game konsep mario bros ular tangga monopoly dong min tambah rame guna gojek,positive
server jelek delay pending suka eror benerin lah,negative
susah banget nyari driver mau batalin harus nunggu menit lebih,negative
orangg nyaa ramahh baikkk,positive
scam main game bolak balok sudah capai target hadiah masuk capek capek main jam lebih gak dapet apa apa scam,negative
sangat,positive
bantu banget buat yang belum hafal daerah,positive
pokok mantep banget deh gojek mau transportasi makan mantul dech,positive
aplikasi scam beli vc indomaret dibtalkan dana gk refund jdi boncos,negative
lama bgt nemui driver terima abistu cansel smpe kali gatau salah d mna harus kalo ga cocok jgan terima,negative
sangat baik cepat baigus,positive
susah cari driver jam jam buat cari makan tengah kota aja syulit,negative
saldo gopay bajak total juta pihak gopay gak tanggung jawab padahal sudah datang kantor gojek di kemang,negative
e bujug gw suka doang jir,positive
sangat kecewa sekali beberapa kali pesan gofood guna ongkir murah ujung ujung batal hampir jam tak kunjung dapat driver malam saya coba guna ongkir murah ken tau aja ada ubah tdk nyata zonk masalah memang ada manfaat perlu cantum aplikasi min buang buang waktu orang tadi lapar jadi ga lapar,negative
refund beli areward gagal kok masuk sih kalian kecil k saya besar loh,negative
kece abis aw aw aw,positive
bener bener bagus aplikasi juga mana jadi lebih praktis hemat,positive
sbnrnya apk nya bagus tpi akhir knpa sering bnget klo mesen gofood ga sama sekali driver yg mau ngambil bahkan yg ngambil tp langsung cancel gt aja ngasi harap palsu bgt nunggu hampir jam an akhir hrs cancel sia sia rasa user setia jadi ragu pakai gofood mohon evaluasi sistem mungkin ada penalti buat driver nerima trs tiba tiba batalin alas jelas waktu tunggu singkat biar ga nunggu terlalu lama,negative
aplikasi mantap btw bagus saldo min,positive
mudah urus sangat bantu,positive
sangat bantu suka karna pake koin gopay itu bantu banget,positive
tolol kali,negative
susah banget buka gocatsnya ya,positive
sesuai ekspektasi,positive
halo tim gojek akun kena suspen alas penyalahgunaan promosi rasa pernah laku curang duplikasi akun atau pakai aplikasi pihak tiga sering kali mes makan yg sama satu resto voucher yg dapat gojek plus itu jadi sebab hanya guna hak akun pribadi satu satu mohon bantu tinjau akun saya karena ini murni salah deteksi sistem terima kasih,negative
layan bagus,positive
bagus si kenapa tiap sy pesan makan selalu tdk driver bukan cmn sekali tiap kali sya pesan makan selalu dapat driver,positive
pertama guna aplikasi alhamdulillah baik terus drivernya baik jemput sesuai titik perilaku baik motor awat driver sopan baik tampil tarik makasih buat driver nya makasih atas layan baik saya depan nya moga driver lebih lancar usaha nya selamat cari nafkah keluarga,positive
mesen gojek asik cepet dn kualitas,positive
atmin gojek yg hormat jarak jemput driver resto atau costumer jangan la terlalu jauh terkadang jemput tuju km sampay km emang udah gak orang lagi apa jam sibuk coba la cari driver dekat tolong respon,negative
mau update kok lama bgt terinstal,negative
mantab banget,positive
banyak layan manfaat saya promonya bantu banget mudah mudah berkah buat usaha gojek para driver,positive
apk bgstttt gw tiap sen makan lupa ganti cash gopay malah gabisa ganti minjem duit mulu gw gw pngen gojek bs ganti transaksi,negative
service layan oce,positive
bagus muas dlm layan,positive
bergunaa bgttt,positive
lumayan bantu buat yg kmpg,positive
pernah kecewa dng gofood pertama kali sen makan tdk sesuai pesan kurang satu pesan tdk solusi krn aku yg rugi driver jg lepas tanggungjawab kl sen motor mobil sih blm masalah mudah an jng,neutral
kau tau aku rasa kalian butuh lebih banyak ruang server kalian benar benar sebal aku coba buat mesen gofood malah server penuh masih banyak user pakai apk gojek fleksibiltas akses apk rupa paling krusial nentuin berapa puas pelang layan mudah ui kalian tawar baik server kalian dapat cakup lebih banyak orang customer mes,negative
bantu resin tuh driver lu d bandung suka ngelanggar lampu merah terobos lawan arah di putus mitra kek apa kek gaada sanksi yg ketat gt emg gaada sop nya bukan atur gojek doang klo saya yg langgar tp atur lalu lintas,negative
sumpaaahh aku ngga nyangka sen gofood lawson tp yg kirim beda sen aku lapor cs ga menit abis lapor langsung refund dananyaaaa ihhhh cinta bangettt ama gojekkk,positive
sangat membantuuuuuuuuuuu,positive
excellent aplikasi,positive
bnyakin aja promo nya,positive
wahyu abai gamkom,positive
biasa pakai apk produk lokal bagus lebih murah,positive
gojek gajelas pepek aneh bgt gopoy coins dri login hari sama main game gocats masa ga claim sama ga masuk coins nya malah curiga aktivitas duga aneh bgt suruh login tiap hari buat dpt coins malah di curiga aneh,neutral
sulit verifikasi wajah,negative
kecewa aplikasi barang hilang tidak ganti ganti rugi padahal proses lapor lampir bukti,negative
mudah jangkau go car nyaman,positive
best,positive
always pesan makan online lewat sini mudah ga repot luv luv,positive
pake gojek plus bukan makin murah malah makin mahal saran buat guna usah buang uang langgan gojek plus,negative
driver ambil barang barang hilang terima makan kado ulang tahun kira harga barang hilang terima cerita lebih detail bu lilik kirim makan kado bu tony alamat pucang anom timur v no driver foto taruh kirim pagar bilang terima bu tony tilpon kalau gak orang pagar bukan pagar rumah bu tony bagaimana jalan keluar kado sangat harga,positive
sangat bantu sekali buat nggak ribet cepat tuju terimakasih gojek l,positive
oke buangettttt,positive
aman nyaman,positive
quick respon,positive
banyak promo saja beda tiap akun untuk guna gojek plus batas sampai x hari ingin ubah paket sedia krn sat akan order ulang ke,positive
aneh banget gopay pinjam awal lunas malah mau pinjam tolak terus kalau lambat bayar kejar aneh gopay pinjam kalau orang lunas kasix lah pinjam apa sudah lunas di awal,negative
mantap laaaahhhh,positive
driver mu gk yg punya etika ngomong kasar sama orang,negative
gojek mantp,positive
layan,positive
bagus hari,positive
si bapa nyah rah baik puas layan nyah makasih pak,positive
sangat aman bantu,positive
sangat bantu giat rutin,positive
sangat puas,positive
mau aja ga perlu ribet cari angkot,positive
mudah operasi harga murah banget tiap jalan goride,positive
bantu segala,positive
aplikasi gojek cukup akurat sangat ngebantu banget pokok nya satu kata keren,positive
banget,positive
mode gelap gojek kapan hadir dari dulu asa fiturnya tapi cuman beta aja,positive
aplikasi baik,positive
